dyke_id,vertex_id,x,y,z
1,307,698808.251953125,6547857.09375,75.556755065917969,
1,308,698690.97265625,6548116.37890625,76.903816223144531,
1,310,698688.21875,6548122.46875,76.935440063476563,
1,315,698677.650390625,6548145.83203125,77.05682373046875,
1,316,698660.935546875,6548182.7890625,77.580673217773438,
1,317,698558.5625,6548409.125,80.788780212402344,
1,318,698461.912109375,6548622.80859375,83.500144958496094,
1,319,698339.23046875,6548894.04296875,84.421173095703125,
1,320,698304.5078125,6548970.8125,84.902572631835938,
1,322,698302.0546875,6548976.234375,84.936569213867188,
1,327,698277.669921875,6549030.14453125,85.274627685546875,
1,328,698206.103515625,6549188.375,86.266815185546875,
1,329,697957.525390625,6549737.953125,74.187080383300781,
1,330,697918.8125,6549823.5390625,72.627456665039062,
1,331,697916.265625,6549829.171875,72.524810791015625,
1,333,697915.8984375,6549829.984375,72.486244201660156,
1,338,697889.361328125,6549890.640625,69.66802978515625,
1,339,697882.111328125,6549907.2109375,68.89801025390625,
1,340,697633.68359375,6550475.0390625,49.41436767578125,
1,341,697580.8046875,6550595.90234375,43.800628662109375,
1,342,697577.296875,6550603.921875,43.428188323974609,
1,344,697547.255859375,6550672.5859375,40.238929748535156,
1,349,697540.837890625,6550687.2578125,39.631752014160156,
1,350,697320.763671875,6551190.27734375,18.812511444091797,
1,351,697243.318359375,6551367.29296875,10.043388366699219,
1,352,697238.6953125,6551377.859375,9.5198802947998047,
1,354,697210.63671875,6551441.9921875,6.3427333831787109,
1,359,697190.46875,6551488.08984375,4.0092859268188477,
1,360,697067.958984375,6551768.109375,-10.165111541748047,
1,361,696913.59765625,6552120.9296875,-26.567710876464844,
1,362,696905.955078125,6552138.3984375,-27.447980880737305,
1,363,696900.09375,6552151.796875,-28.123197555541992,
1,365,696838.923828125,6552291.609375,-35.169178009033203,
1,370,696746.93359375,6552501.8671875,-45.765235900878906,
1,371,696679.47265625,6552656.05859375,-53.787631988525391,
1,372,696568.666015625,6552909.328125,-67.279861450195313,
1,373,696561.48828125,6552925.734375,-68.153846740722656,
1,532,696887.103515625,6553056.81640625,-57.584400177001953,
1,533,696948.951171875,6552915.4375,-50.053173065185547,
1,534,696882.921875,6553066.375,-58.111400604248047,
1,535,696876.388671875,6553063.51953125,-58.303672790527344,
1,536,696873.455078125,6553062.234375,-58.390026092529297,
1,537,696629.234375,6552955.37890625,-66.0335693359375,
1,538,696961.533203125,6552886.6796875,-48.521232604980469,
1,539,697189.05078125,6552366.60546875,-21.462982177734375,
1,540,697215.68359375,6552305.7265625,-18.258623123168945,
1,542,697221.23828125,6552293.03125,-17.590456008911133,
1,547,697246.6484375,6552234.953125,-14.469259262084961,
1,548,697274.453125,6552171.40625,-11.221931457519531,
1,549,697234.62109375,6552262.4453125,-15.980452537536621,
1,550,697286.6640625,6552143.49609375,-9.7958660125732422,
1,551,697510.83984375,6551631.1328125,16.140541076660156,
1,552,697555.314453125,6551529.484375,21.176235198974609,
1,554,697559.56640625,6551519.765625,21.657699584960938,
1,559,697600.40234375,6551426.421875,26.28173828125,
1,560,697729.70703125,6551130.85546875,40.923408508300781,
1,561,697773.970703125,6551029.67578125,45.111003875732422,
1,562,697894.8515625,6550753.3671875,57.944347381591797,
1,564,697897.890625,6550746.421875,58.266925811767578,
1,569,697927.14453125,6550679.55859375,61.372550964355469,
1,570,697998.552734375,6550516.33984375,68.953567504882813,
1,571,698044.90234375,6550410.3984375,72.58868408203125,
1,572,698229.626953125,6549988.18359375,92.206085205078125,
1,573,698234.3125,6549977.47265625,92.391983032226562,
1,575,698236.21484375,6549973.125,92.467414855957031,
1,580,698257.994140625,6549924.9453125,93.344627380371094,
1,581,698452.365234375,6549494.97265625,101.17341613769531,
1,582,698473.130859375,6549449.03125,102.18247222900391,
1,583,698505.009765625,6549378.515625,101.7396240234375,
1,584,698628.35546875,6549105.65625,100.93265533447266,
1,585,698630.2421875,6549101.484375,100.92032623291016,
1,587,698649.15625,6549059.640625,100.79656219482422,
1,592,698678.31640625,6548995.13671875,100.60577392578125,
1,593,698812.591796875,6548698.09765625,93.923377990722656,
1,594,698855.3359375,6548603.5390625,92.722938537597656,
1,595,698913.763671875,6548474.29296875,90.890174865722656,
1,596,699021.84375,6548235.203125,86.990760803222656,
1,597,699024.265625,6548229.84375,86.90338134765625,
1,599,699048.861328125,6548175.43359375,86.0159912109375,
1,604,699070.142578125,6548128.359375,85.248245239257813,
1,605,699144.76171875,6547963.29296875,83.08868408203125,
1,606,699318.76171875,6547578.3828125,80.29931640625,
1,607,699415.5625,6547364.25,79.084648132324219,
1,608,699418.2890625,6547358.21875,79.050445556640625,
1,610,699445.6953125,6547297.58984375,78.706512451171875,
1,615,699447.158203125,6547294.35546875,78.688156127929687,
1,616,699610.248046875,6546933.5703125,77.429702758789063,
1,617,699736.38671875,6546654.52734375,76.188545227050781,
1,618,699809.451171875,6546492.890625,75.569145202636719,
1,619,699812.3125,6546486.5625,75.544898986816406,
1,621,699841.02734375,6546423.0390625,75.301490783691406,
1,626,699939.037109375,6546206.234375,74.470741271972656,
1,627,700007.78515625,6546054.15625,73.768653869628906,
1,628,700181.83203125,6545669.14453125,71.278694152832031,
1,629,700203.310546875,6545621.6328125,71.090385437011719,
1,630,700206.34375,6545614.921875,71.063789367675781,
1,632,700236.791015625,6545547.56640625,70.79681396484375,
1,636,700285.810546875,6545439.125,70.366973876953125,
1,637,700366.5078125,6545260.60546875,69.575775146484375,
1,638,700597.16796875,6544750.3359375,66.863922119140625,
1,639,700599.125,6544746.00390625,66.840911865234375,
1,640,700600.36328125,6544743.265625,66.79522705078125,
1,641,700632.80859375,6544671.4921875,65.598426818847656,
2,946,696719.970703125,6543050.71875,32.855659484863281,
2,947,696703.03125,6543084.25,32.487590789794922,
2,948,696745.59375,6543000,33.311676025390625,
2,949,696539.109375,6543408.72265625,28.925764083862305,
2,950,696431.8984375,6543620.94140625,26.56675910949707,
2,951,696415.970703125,6543652.46875,26.181453704833984,
2,952,696378.853515625,6543725.94140625,25.386798858642578,
2,953,696374.33984375,6543734.875,25.290166854858398,
2,955,696328.81640625,6543824.984375,24.315549850463867,
2,958,696183.353515625,6544112.9140625,21.201305389404297,
2,959,696079.0859375,6544319.3046875,18.683046340942383,
2,960,696007.892578125,6544460.2265625,17.188671112060547,
2,961,696003.08203125,6544469.75,17.087696075439453,
2,964,695909.994140625,6544542.03125,15.517655372619629,
2,967,695874.376953125,6544569.6875,14.916943550109863,
2,968,695562.4453125,6544811.90234375,8.8872270584106445,
2,969,695437.701171875,6544908.765625,6.483757495880127,
2,970,695348.642578125,6544977.91796875,4.5608234405517578,
2,971,695303.71484375,6545012.8046875,3.6074469089508057,
2,972,695293.58203125,6545020.671875,3.3924174308776855,
2,975,695190.5859375,6545100.6484375,1.2067677974700928,
2,978,694976.365234375,6545266.99609375,-3.3392009735107422,
2,979,694672.998046875,6545502.57421875,-10.620781898498535,
2,980,694595.322265625,6545562.890625,-12.489242553710938,
2,981,694584.07421875,6545571.625,-12.759804725646973,
2,984,694469.50390625,6545660.58203125,-15.515676498413086,
2,987,694451.041015625,6545674.91796875,-15.959773063659668,
2,988,693930.6328125,6546078.98828125,-30.089191436767578,
2,989,693887.123046875,6546112.76953125,-31.34773063659668,
2,990,693874.5703125,6546122.515625,-31.710823059082031,
2,993,693821.806640625,6546192.8671875,-33.527133941650391,
2,996,693787.6328125,6546238.43359375,-34.798820495605469,
2,997,693590.966796875,6546500.66015625,-42.117263793945312,
2,998,693484.7890625,6546642.234375,-45.97454833984375,
2,999,693406.173828125,6546747.05859375,-49.110374450683594,
2,1000,693401.7421875,6546752.96875,-49.284938812255859,
2,1001,693392.3671875,6546765.46875,-49.654224395751953,
2,1004,693296.666015625,6546893.0703125,-53.423770904541016,
2,1007,693234.197265625,6546976.36328125,-55.884353637695313,
2,1008,692943.9296875,6547363.390625,-68.378036499023438,
2,1009,692929.07421875,6547383.1953125,-69.037849426269531,
2,1010,692920.478515625,6547394.65625,-69.435882568359375,
2,1011,692910.15625,6547408.421875,-69.913955688476563,
2,1014,692804.39453125,6547549.4375,-74.811744689941406,
2,1017,692539.55078125,6547902.57421875,-87.076690673828125,
2,1018,692500.88671875,6547954.12890625,-88.863319396972656,
2,1019,692499.76953125,6547955.6171875,-88.913681030273438,
2,1020,692497.841796875,6547958.1875,-89.007720947265625,
2,1021,692439.333984375,6548036.19921875,-91.903694152832031,
2,1022,692427.953125,6548051.375,-92.466987609863281,
2,1025,692273.95703125,6548229.26953125,-99.556648254394531,
2,1028,692037.630859375,6548502.265625,-110.43655395507812,
2,1029,691844.921875,6548724.87890625,-119.63840484619141,
2,1030,691812.185546875,6548762.6953125,-121.27337646484375,
2,1031,691795.4453125,6548782.03125,-122.10941314697266,
2,1034,691726.744140625,6548861.3984375,-125.54072570800781,
2,1037,691622.24609375,6548982.1171875,-130.67378234863281,
2,1038,691558.2265625,6549056.07421875,-133.81858825683594,
2,1039,691462.23828125,6549166.9609375,-138.36111450195312,
2,1040,691181.609375,6549491.1484375,-152.60345458984375,
2,1041,691162.9375,6549512.71875,-153.55110168457031,
2,1044,691050.966796875,6549676.01171875,-160.0477294921875,
2,1047,691021.8203125,6549718.515625,-161.66574096679687,
2,1048,691000.974609375,6549748.91796875,-162.82290649414062,
2,1049,690817.498046875,6550016.484375,-173.70475769042969,
2,1050,690713.765625,6550167.765625,-179.86575317382812,
2,1051,690698.828125,6550189.546875,-180.75286865234375,
2,1054,690583.4609375,6550357.79296875,-187.60488891601562,
2,1057,690544.849609375,6550414.1015625,-190.06790161132812,
2,1058,690524.62109375,6550443.6015625,-191.35838317871094,
2,1059,690312.3828125,6550753.1171875,-204.28175354003906,
2,1060,690250.927734375,6550842.73828125,-207.9666748046875,
2,1061,690234.71875,6550866.375,-208.9385986328125,
2,1064,690115.97265625,6551039.5390625,-216.05863952636719,
2,1067,690067.697265625,6551109.94140625,-218.86842346191406,
2,1068,690047.30078125,6551139.68359375,-220.05557250976562,
2,1069,689788.080078125,6551517.69921875,-235.98628234863281,
2,1070,689779.04296875,6551530.87890625,-236.54165649414062,
2,1073,689770.6015625,6551543.1875,-237.04972839355469,
2,1074,689590.44140625,6551805.9296875,-247.89389038085937,
2,1077,689499.8515625,6551938.04296875,-253.34657287597656,
2,1078,689437.873046875,6552028.4296875,-257.15203857421875,
2,1079,689398.306640625,6552086.1328125,-259.68927001953125,
2,1080,689325.23828125,6552192.6953125,-263.97476196289062,
2,1081,689306.4921875,6552220.03125,-265.07415771484375,
2,1084,689113.42578125,6552501.58203125,-276.39715576171875,
2,1087,689006.826171875,6552657.03515625,-282.64901733398437,
2,1088,688862.375,6552867.69140625,-291.4847412109375,
2,1089,688842.3828125,6552896.84375,-292.70755004882812,
2,1092,688967.6640625,6552982.75390625,-293.8221435546875,
2,1095,689119.15234375,6553086.63671875,-295.1697998046875,
2,1096,689131.71875,6553095.25,-295.281494140625,
2,1101,689327.443359375,6552809.81640625,-283.309326171875,
2,1102,689348.05078125,6552779.765625,-282.04879760742187,
2,1103,689500.8046875,6552557,-273.08999633789062,
2,1104,689575.81640625,6552447.61328125,-268.28009033203125,
2,1107,689594.7109375,6552420.0625,-267.068603515625,
2,1110,689777.796875,6552153.0625,-255.32843017578125,
2,1111,689778.685546875,6552151.765625,-255.27140808105469,
2,1112,689988.591796875,6551845.6484375,-242.38320922851562,
2,1113,690040.125,6551770.49609375,-239.00813293457031,
2,1116,690057.6953125,6551744.875,-237.85743713378906,
2,1117,690090.591796875,6551696.90234375,-235.70295715332031,
2,1120,690228.068359375,6551496.40625,-227.18670654296875,
2,1121,690331.859375,6551345.04296875,-220.75732421875,
2,1122,690490.302734375,6551113.96875,-210.45443725585937,
2,1123,690504.443359375,6551093.34765625,-209.59336853027344,
2,1126,690520.6875,6551069.65625,-208.60420227050781,
2,1129,690678.33203125,6550839.7578125,-199.00511169433594,
2,1130,690737.044921875,6550754.1328125,-195.42999267578125,
2,1131,690968.73828125,6550416.24609375,-180.64991760253906,
2,1132,690970.458984375,6550413.73828125,-180.54011535644531,
2,1135,690983.671875,6550394.46875,-179.75538635253906,
2,1138,691128.73046875,6550182.92578125,-171.14004516601562,
2,1139,691178.154296875,6550110.84765625,-168.20457458496094,
2,1140,691350.888671875,6549858.94921875,-157.34507751464844,
2,1141,691432.994140625,6549739.2109375,-152.59806823730469,
2,1144,691446.6640625,6549719.28125,-151.80784606933594,
2,1147,691626.31640625,6549511.89453125,-142.70347595214844,
2,1148,691725.111328125,6549397.84765625,-137.69683837890625,
2,1149,691826.560546875,6549280.73828125,-132.30975341796875,
2,1150,692059.173828125,6549012.21484375,-120.57805633544922,
2,1153,692075.78125,6548993.046875,-119.74049377441406,
2,1154,692082.4296875,6548985.37109375,-119.4051513671875,
2,1157,692227.009765625,6548818.47265625,-112.18682861328125,
2,1158,692236.42578125,6548807.6015625,-111.73735046386719,
2,1159,692276.744140625,6548761.05859375,-109.81277465820312,
2,1160,692395.9375,6548623.46875,-104.32727813720703,
2,1161,692690.15234375,6548283.83984375,-90.117164611816406,
2,1164,692704.890625,6548266.828125,-89.405364990234375,
2,1165,692746.35546875,6548211.54296875,-87.261924743652344,
2,1168,692814.1484375,6548121.15234375,-83.947235107421875,
2,1169,692928.73046875,6547968.375,-78.344871520996094,
2,1170,693139.005859375,6547688.00390625,-68.607086181640625,
2,1171,693173.44921875,6547642.08203125,-67.077262878417969,
2,1174,693183.5859375,6547628.5625,-66.626960754394531,
2,1177,693282.701171875,6547496.4140625,-62.224643707275391,
2,1178,693396.453125,6547344.74609375,-57.172245025634766,
2,1179,693508.57421875,6547195.2578125,-52.346412658691406,
2,1180,693620.537109375,6547045.98046875,-47.936389923095703,
2,1181,693653.10546875,6547002.5546875,-46.637439727783203,
2,1184,693662.2890625,6546990.3125,-46.271202087402344,
2,1187,693752.275390625,6546870.33203125,-42.682178497314453,
2,1188,693843.82421875,6546748.26953125,-39.030860900878906,
2,1189,694019.103515625,6546514.56640625,-32.508377075195312,
2,1190,694132.64453125,6546363.18359375,-28.599987030029297,
2,1193,694140.984375,6546352.0625,-28.312887191772461,
2,1196,694262.375,6546257.96875,-24.80317497253418,
2,1197,694360.390625,6546181.99609375,-21.969284057617188,
2,1198,694624.791015625,6545977.0546875,-14.793532371520996,
2,1199,694841.70703125,6545808.91796875,-9.5777902603149414,
2,1202,694852.7890625,6545800.328125,-9.3113269805908203,
2,1205,694961.603515625,6545715.984375,-6.6948757171630859,
2,1206,695136.740234375,6545580.23046875,-2.4837214946746826,
2,1207,695160.875,6545561.5234375,-1.9046647548675537,
2,1208,695214.76171875,6545519.75390625,-0.76156455278396606,
2,1209,695554.638671875,6545256.30859375,6.700892448425293,
2,1212,695564.58984375,6545248.59375,6.9193902015686035,
2,1213,695653.7578125,6545179.48046875,8.8771810531616211,
2,1216,695662.482421875,6545172.71875,9.0342788696289062,
2,1217,695931.744140625,6544964.015625,13.882286071777344,
2,1218,696133.849609375,6544807.36328125,17.787647247314453,
2,1219,696267.373046875,6544703.87109375,20.03904914855957,
2,1222,696276.3984375,6544696.875,20.191226959228516,
2,1225,696329.951171875,6544590.359375,21.317079544067383,
2,1226,696345.39453125,6544559.640625,21.641733169555664,
2,1227,696468.998046875,6544313.796875,24.209636688232422,
2,1228,696509.01953125,6544234.19140625,24.900468826293945,
2,1229,696697.921875,6543858.46875,28.825710296630859,
2,1232,696702.96484375,6543848.4375,28.930490493774414,
2,1233,696724.0546875,6543806.48828125,29.368728637695313,
2,1236,696752.947265625,6543749.0234375,29.899200439453125,
2,1237,696835.515625,6543584.796875,31.415210723876953,
2,1238,696968.748046875,6543319.8046875,34.316741943359375,
2,1239,697124.83984375,6543009.34375,37.100475311279297,
2,1242,697129.5390625,6543000,37.184257507324219,
3,1716,679253.1171875,6567112.0625,-396.94308471679687,
3,1717,678959.54296875,6567359.97265625,-390.19070434570312,
3,1718,678953.0078125,6567365.4921875,-390.02972412109375,
3,1720,678919.28125,6567393.970703125,-389.19921875,
3,1725,678853.03125,6567449.91796875,-387.6484375,
3,1726,678539.30078125,6567714.84765625,-380.55816650390625,
3,1727,678914.7890625,6567397.765625,-389.09402465820312,
3,1728,678395.62109375,6567836.1796875,-377.31097412109375,
3,1729,678226.44921875,6567979.037109375,-373.86410522460937,
3,1731,678189.375,6568010.34375,-373.10870361328125,
3,1736,678171.05859375,6568025.810546875,-372.73550415039063,
3,1737,677825.96484375,6568317.2265625,-364.94610595703125,
3,1738,677824.95703125,6568318.07421875,-364.9261474609375,
3,1739,677539.37109375,6568559.23828125,-359.25958251953125,
3,1740,677499.95703125,6568592.521484375,-358.41842651367187,
3,1742,677463.9765625,6568622.90625,-357.65057373046875,
3,1747,677295.734375,6568791.05078125,-353.90472412109375,
3,1748,677230.56640625,6568856.1796875,-352.605712890625,
3,1749,677062.9921875,6569023.658203125,-349.26541137695312,
3,1750,677011.10546875,6569075.517578125,-348.16729736328125,
3,1752,676987.96875,6569098.640625,-347.67770385742187,
3,1757,676881.49609375,6569205.0625,-345.42437744140625,
3,1758,676758.984375,6569327.513671875,-343.08868408203125,
3,1759,676534.66796875,6569551.71875,-338.81210327148437,
3,1761,676511.96875,6569574.40625,-338.37933349609375,
3,1766,676398.17578125,6569688.130859375,-336.2099609375,
3,1767,676312.52734375,6569773.728515625,-334.424072265625,
3,1768,676287.24609375,6569798.994140625,-333.9063720703125,
3,1769,676241.3125,6569844.904296875,-332.96560668945312,
3,1770,676058.25,6570027.857421875,-329.77102661132812,
3,1772,676035.96875,6570050.125,-329.3822021484375,
3,1777,675828.80078125,6570108.353515625,-326.80978393554687,
3,1778,675634.12890625,6570163.0703125,-324.34408569335937,
3,1779,675465.01953125,6570210.6015625,-322.20217895507812,
3,1780,675207.4140625,6570283.0078125,-319.51870727539062,
3,1782,675167.640625,6570294.1875,-319.1043701171875,
3,1787,675137.1015625,6570302.771484375,-318.7862548828125,
3,1788,674773.87109375,6570404.880859375,-314.81597900390625,
3,1789,674748.5703125,6570411.9921875,-314.53945922851562,
3,1790,674338.375,6570527.302734375,-311.09115600585937,
3,1792,674299.3125,6570538.28125,-310.76278686523437,
3,1797,674099.20703125,6570685.58203125,-308.50625610351562,
3,1798,674037.828125,6570730.76171875,-307.8377685546875,
3,1799,674023.421875,6570741.3671875,-307.70529174804687,
3,1800,673708.890625,6570972.8984375,-304.81317138671875,
3,1802,673681.4765625,6570993.078125,-304.56112670898437,
3,1807,673453.0625,6571161.21484375,-302.46087646484375,
3,1808,673408.9921875,6571193.65234375,-302.04449462890625,
3,1809,673324.4765625,6571255.865234375,-301.24600219726562,
3,1810,673090.73046875,6571427.92578125,-299.6317138671875,
3,1812,673063.625,6571447.875,-299.44454956054687,
3,1817,672800.5078125,6571641.564453125,-297.62738037109375,
3,1818,672793.8359375,6571646.4765625,-297.58016967773437,
3,1819,672618.5625,6571775.501953125,-296.33981323242187,
3,1820,672576.37890625,6571806.556640625,-296.116943359375,
3,1821,672472.6484375,6571882.916015625,-295.60107421875,
3,1823,672445.7890625,6571902.6875,-295.46749877929687,
3,1828,672466.77734375,6571931.1640625,-295.39468383789062,
3,1829,672536.1328125,6572025.27734375,-294.99789428710937,
3,1830,672644.86328125,6572172.8203125,-294.3758544921875,
3,1832,672653.8828125,6572185.0625,-294.32424926757812,
3,1837,672706.23046875,6572146.494140625,-294.59432983398438,
3,1838,672916.6328125,6571991.46875,-296.10836791992187,
3,1839,673020.00390625,6571915.3046875,-296.85220336914062,
3,1840,673231.1875,6571759.705078125,-298.31143188476562,
3,1842,673257.59375,6571740.25,-298.49386596679688,
3,1847,673469.375,6571584.19140625,-299.95733642578125,
3,1848,673522.8984375,6571544.75,-300.46328735351562,
3,1849,673834.57421875,6571315.08203125,-303.40951538085937,
3,1851,673861.28125,6571295.40625,-303.66192626953125,
3,1856,673871.484375,6571287.888671875,-303.75839233398437,
3,1857,674073,6571139.40234375,-305.6121826171875,
3,1858,674129.9921875,6571097.41015625,-306.233154296875,
3,1859,674437.9140625,6570870.5234375,-309.58822631835937,
3,1861,674442.87109375,6570866.873046875,-309.6422119140625,
3,1866,674464.984375,6570850.578125,-309.89169311523437,
3,1867,674828.23046875,6570748.478515625,-312.9451904296875,
3,1868,674860.47265625,6570739.416015625,-313.29763793945312,
3,1869,675300.0078125,6570615.873046875,-318.101806640625,
3,1871,675339.96875,6570604.640625,-318.53857421875,
3,1876,675371.796875,6570595.6953125,-318.88644409179687,
3,1877,675580.3203125,6570537.08984375,-321.11651611328125,
3,1878,675743.9453125,6570491.103515625,-323.22842407226562,
3,1879,675769.76953125,6570483.845703125,-323.56173706054687,
3,1880,676174.11328125,6570370.203125,-328.58245849609375,
3,1882,676214.96875,6570358.71875,-329.08975219726562,
3,1887,676306.00390625,6570268.203125,-330.67510986328125,
3,1888,676447.99609375,6570127.01953125,-333.57763671875,
3,1889,676597.0859375,6569978.779296875,-336.625244140625,
3,1890,676685.359375,6569891.009765625,-338.46240234375,
3,1892,676708.8984375,6569867.609375,-338.9522705078125,
3,1897,676946.91015625,6569630.9765625,-343.90560913085937,
3,1898,676948.9609375,6569628.9375,-343.94833374023437,
3,1899,677090.88671875,6569487.833984375,-346.64993286132812,
3,1900,677178.8203125,6569400.4140625,-348.50778198242187,
3,1902,677202.84375,6569376.53125,-349.015380859375,
3,1907,677294.44921875,6569285.443359375,-350.95095825195312,
3,1908,677445.8359375,6569134.916015625,-354.252197265625,
3,1909,677481.421875,6569099.533203125,-355.02825927734375,
3,1910,677672.23828125,6568909.8046875,-359.3076171875,
3,1912,677696.78125,6568885.40625,-359.85806274414062,
3,1917,677911.296875,6568704.25390625,-364.460693359375,
3,1918,677951.80859375,6568670.044921875,-365.32522583007812,
3,1919,677958.6015625,6568664.306640625,-365.46002197265625,
3,1920,678029.89453125,6568604.1015625,-367.06924438476562,
3,1921,678061.1171875,6568577.734375,-367.77487182617187,
3,1922,678381.0859375,6568307.52734375,-375.00582885742187,
3,1924,678418.03125,6568276.328125,-375.84072875976562,
3,1929,678536.28515625,6568176.46484375,-378.51312255859375,
3,1930,678578.9140625,6568140.46484375,-379.54421997070312,
3,1931,678657.65625,6568073.970703125,-381.50564575195312,
3,1932,678794.2734375,6567958.59765625,-384.70352172851563,
3,1933,679101.140625,6567699.453125,-391.88641357421875,
3,1935,679136.71875,6567669.40625,-392.71920776367187,
3,1940,679139.2734375,6567667.25,-392.7821044921875,
4,2655,669899.16796875,6572075.517578125,-293.70492553710937,
4,2656,669913.94921875,6572061.34375,-293.7149658203125,
4,2658,669956.6171875,6572020.421875,-293.79989624023437,
4,2659,669845.62890625,6572126.86328125,-293.66848754882812,
4,2660,669536.15625,6572423.650390625,-293.482421875,
4,2663,669506.171875,6572452.40625,-293.46438598632812,
4,2666,669398.3515625,6572555.80859375,-293.3995361328125,
4,2667,669206.3203125,6572739.970703125,-293.52374267578125,
4,2668,669113.35546875,6572829.126953125,-293.58383178710937,
4,2669,669007.94921875,6572930.216796875,-293.6495361328125,
4,2670,668843.21484375,6573088.201171875,-293.88180541992187,
4,2673,668813.203125,6573116.984375,-293.92410278320312,
4,2676,668762.05859375,6573241.01953125,-293.88247680664062,
4,2677,668678.33203125,6573444.064453125,-293.93173217773437,
4,2678,668535.51171875,6573790.4228515625,-294.01580810546875,
4,2679,668533.26953125,6573795.8662109375,-294.01773071289062,
4,2680,668531.3671875,6573800.474609375,-294.02279663085937,
4,2681,668515.2890625,6573839.4697265625,-294.04876708984375,
4,2684,668501.796875,6573872.1875,-294.070556640625,
4,2687,668366.8203125,6574199.5390625,-294.28860473632812,
4,2688,668299.40234375,6574363.0537109375,-294.39749145507812,
4,2689,668203.9140625,6574594.6396484375,-294.71878051757812,
4,2692,668190.40625,6574627.40625,-294.76422119140625,
4,2695,668070.9296875,6574917.15234375,-295.16622924804687,
4,2696,668055.1484375,6574955.4228515625,-295.2022705078125,
4,2697,668029.7109375,6575017.1201171875,-295.26040649414062,
4,2698,668006.00390625,6575074.61328125,-295.3330078125,
4,2699,667892.546875,6575349.7568359375,-295.87969970703125,
4,2702,667879,6575382.609375,-295.94500732421875,
4,2705,667743.32421875,6575711.6552734375,-296.59878540039062,
4,2706,667695.4375,6575827.7900390625,-296.82949829101562,
4,2707,667681.62890625,6575861.27734375,-296.88638305664062,
4,2708,667606.04296875,6576044.5986328125,-297.3487548828125,
4,2709,667581.203125,6576104.8408203125,-297.49630737304687,
